Score
10
10
10
10
10
10
8
8
10
10
10
10
10
10
10
9
10
10
10
9
9
10
10
9
10
10
9
10
9
8
10
10
0
4
10
8
10
10
8
10
10
8
8
10
0
3
3
7
7
5
8
1
10
10
0
8
8
10
9
10
9
5
10
10
9
10
5
8
10
10
10
8
3
10
10
10
10
10
5
8
8
8
8
10
8
10
10
4
10
8
5
5
7
3
5
10
5
10
10
10
5
8
10
10
8
8
8
8
8
5
10
8
10
10
10
10
8
8
5
10
5
10
8
10
8
10
8
8
10
10
10
10
8
8
10
8
8
10
8
8
8
8
8
9
8
8
8
5
8
5
8
9
9
8
10
5
8
10
8
9
8
8
10
5
8
8
5
8
10
9
9
5
8
8
9
9
5
8
7
9
9
10
8
9
9
8
8
8
8
5
8
10
9
10
10
10
5
5
0
8
