Score
9
7
6
8
10
7
8
6
8
5
5
6
6
6
7
7
7
5
9
7
7
8
6
6
5
6
7
5
6
6
6
6
8
6
6
8
7
6
8
7
7
8
7
7
7
7
7
6
5
6
6
5
8
8
8
6
5
5
8
7
6
7
7
6
5
5
8
5
8
8
8
8
3
8
7
3
6
5
3
3
6
6
5
2
7
7
7
5
0
7
5
6
6
3
5
6
5
5
5
6
8
7
7
8
7
7
8
5
7
5
7
7
5
7
2
8
7
7
6
7
7
6
5
8
6
7
6
5
8
8
8
5
5
5
8
8
8
6
6
6
7
7
6
7
7
7
6
2
6
5
5
7
7
6
8
8
6
5
8
7
7
7
5
8
6
5
6
7
7
6
5
6
3
3
6
5
2
3
5
6
7
5
5
8
5
5
2
8
6
6
4
2
5
5
5
2
6
2
4
3
